lemma,lila_id,synset_id,sem_type,definition_pt,lexemes_pt,argumentSet
arx,lilaLemma:90170,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00823750-n"" target=""_blank"">00823750-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;proteção contra danos</small><br>,"<small><small>lexemas:</small></small>&ensp;defesa, escudo<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
ars,lilaLemma:90089,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00582868-n"" target=""_blank"">00582868-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;qualquer atividade que ocupa a atenção de uma pessoa</small><br>,"<small><small>lexemas:</small></small>&ensp;emprego, ocupação<br>",
ars,lilaLemma:90089,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00171618-n"" target=""_blank"">00171618-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;uma ação de astúcia ou enganosa</small><br>,"<small><small>lexemas:</small></small>&ensp;enganação, truque<br>",
ars,lilaLemma:90089,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00714944-n"" target=""_blank"">00714944-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;uma arte que exige mãos habilidosas</small><br>,<small><small>lexemas:</small></small>&ensp;artesanato<br>,
ars,lilaLemma:90089,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00752954-n"" target=""_blank"">00752954-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o uso de truques para enganar alguém (geralmente para extrair dinheiro deles)</small><br>,"<small><small>lexemas:</small></small>&ensp;artimanha, astúcia, arte<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
ars,lilaLemma:90089,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00609953-n"" target=""_blank"">00609953-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;uma ocupação que requer educação especial (especialmente nas artes ou das ciências)</small><br>,<small><small>lexemas:</small></small>&ensp;profissão<br>,
ars,lilaLemma:90089,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00606370-n"" target=""_blank"">00606370-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;a prática qualificada de uma ocupação</small><br>,"<small><small>lexemas:</small></small>&ensp;arte, ofício, profissão<br>",
ars,lilaLemma:90089,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01220984-n"" target=""_blank"">01220984-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;maneira de agir ou controlar a si mesmo</small><br>,"<small><small>lexemas:</small></small>&ensp;comportamento, conduta, atuação, obra<br>","<small><small>valências:&ensp;[ACT,ACMP] ou [ACT,MEANS] ou [ACT,PAT]</small></small><br>"
ars,lilaLemma:90089,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00172490-n"" target=""_blank"">00172490-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;uma manobra em um jogo ou uma conversa</small><br>,<small><small>lexemas:</small></small>&ensp;artimanha<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
auctor,lilaLemma:90615,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00153961-n"" target=""_blank"">00153961-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de validação; encontrando ou testar a verdade de algo</small><br>,"<small><small>lexemas:</small></small>&ensp;validação, verificação<br>","<small><small>valências:&ensp;[PAT] ou [ACT,PAT]</small></small><br>"
auctor,lilaLemma:90615,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00154233-n"" target=""_blank"">00154233-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;validar a autenticidade de alguma coisa ou alguém</small><br>,"<small><small>lexemas:</small></small>&ensp;autenticação, autentificação, certificação, verificação, Métodos de autenticação<br>",<small><small>valências:&ensp;[PAT]</small></small><br>
auctoritas,lilaLemma:90620,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01129920-n"" target=""_blank"">01129920-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;a força social liga as pessoas aos cursos de ação demandadas por essa força</small><br>,"<small><small>lexemas:</small></small>&ensp;dever, obrigação, responsabilidade, comprometimento<br>",<small><small>valências:&ensp;[ACT]</small></small><br>
auctoritas,lilaLemma:90620,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01215392-n"" target=""_blank"">01215392-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato formal de aprovação</small><br>,<small><small>lexemas:</small></small>&ensp;aprovação<br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,ADDR] ou [ACT]</small></small><br>"
auctoritas,lilaLemma:90620,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01211019-n"" target=""_blank"">01211019-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de dar esperança ou apoio a alguém</small><br>,"<small><small>lexemas:</small></small>&ensp;coragem, encorajamento<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
auctoritas,lilaLemma:90620,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00157081-n"" target=""_blank"">00157081-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;causar algo sem qualquer esforço direto ou aparente</small><br>,"<small><small>lexemas:</small></small>&ensp;efeito, influência<br>",<small><small>valências:&ensp;[ACT]</small></small><br>
auctoritas,lilaLemma:90620,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00912960-n"" target=""_blank"">00912960-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato ou processo de produzir algo</small><br>,"<small><small>lexemas:</small></small>&ensp;actividades de produção, produção<br>","<small><small>valências:&ensp;[ACT] ou [ACT,PAT]</small></small><br>"
auctoritas,lilaLemma:90620,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01144876-n"" target=""_blank"">01144876-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de guiar ou mostrar o caminho</small><br>,"<small><small>lexemas:</small></small>&ensp;directriz, direcção, direção, gerência, gestão, controle, guia, orientação<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
auctoritas,lilaLemma:90620,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01256417-n"" target=""_blank"">01256417-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;a atividade de liderar</small><br>,<small><small>lexemas:</small></small>&ensp;liderança<br>,"<small><small>valências:&ensp;[ACT] ou [ACT,PAT,DIR1,DIR3] ou [ACT,PAT]</small></small><br>"
auctoritas,lilaLemma:90620,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00815320-n"" target=""_blank"">00815320-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;ato de estabelecer e manter um curso</small><br>,"<small><small>lexemas:</small></small>&ensp;orientação, direcção<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT] ou [ACT,PAT,DIR3]</small></small><br>"
auctoritas,lilaLemma:90620,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00809465-n"" target=""_blank"">00809465-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;ato de ter propriedade e controle</small><br>,"<small><small>lexemas:</small></small>&ensp;possessão, propriedade, posse<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
auctoritas,lilaLemma:90620,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00162632-n"" target=""_blank"">00162632-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de se decidir sobre alguma coisa</small><br>,"<small><small>lexemas:</small></small>&ensp;decisão, resolução, determinação<br>","<small><small>valências:&ensp;[ACT] ou [ACT,PAT]</small></small><br>"
aura,lilaLemma:90740,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00836537-n"" target=""_blank"">00836537-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;fôlego</small><br>,<small><small>lexemas:</small></small>&ensp;respiração<br>,
aura,lilaLemma:90740,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00835032-n"" target=""_blank"">00835032-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o processo de tomar e expelir o ar durante a respiração</small><br>,<small><small>lexemas:</small></small>&ensp;respiração<br>,
auris,lilaLemma:90784,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00882159-n"" target=""_blank"">00882159-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de ouvir com atenção</small><br>,"<small><small>lexemas:</small></small>&ensp;escuta, ouvida, dar ouvidos<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
auxilium,lilaLemma:90873,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00971463-n"" target=""_blank"">00971463-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;uma operação militar (muitas vezes envolvendo novos suprimentos de homens e material) para fortalecer uma força militar ou ajuda no desempenho de sua missão</small><br>,"<small><small>lexemas:</small></small>&ensp;apoio, reforço<br>",
auxilium,lilaLemma:90873,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00827782-n"" target=""_blank"">00827782-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>definição:</small>&ensp;o ato de acompanhar alguém ou alguma coisa, a fim de protegê-los</small><br>","<small><small>lexemas:</small></small>&ensp;acompanhamento, escolta<br>",<small><small>valências:&ensp;[PAT]</small></small><br>
auxilium,lilaLemma:90873,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01207609-n"" target=""_blank"">01207609-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;a atividade de contribuir para a realização de uma necessidade ou ajuda de um esforço ou propósito</small><br>,"<small><small>lexemas:</small></small>&ensp;ajuda, assistência, auxílio, socorro<br>","<small><small>valências:&ensp;[ACT,PAT] ou [PAT]</small></small><br>"
auxilium,lilaLemma:90873,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00823750-n"" target=""_blank"">00823750-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;proteção contra danos</small><br>,"<small><small>lexemas:</small></small>&ensp;defesa, escudo<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
beneficium,lilaLemma:91483,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01226941-n"" target=""_blank"">01226941-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;um ato de bondade graciosa</small><br>,"<small><small>lexemas:</small></small>&ensp;favor, gentileza<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
beneficium,lilaLemma:91483,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01209576-n"" target=""_blank"">01209576-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;um ato de ajuda ou assistência</small><br>,<small><small>lexemas:</small></small>&ensp;serviço<br>,
beneficium,lilaLemma:91483,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00577525-n"" target=""_blank"">00577525-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;trabalho feito por uma pessoa ou grupo que beneficia outro</small><br>,<small><small>lexemas:</small></small>&ensp;serviço<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
beneficium,lilaLemma:91483,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00198451-n"" target=""_blank"">00198451-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;ato de crescer em posição ou cargo</small><br>,"<small><small>lexemas:</small></small>&ensp;ascenção, promoção<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,DIR3]</small></small><br>"
beneficium,lilaLemma:91483,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00034574-n"" target=""_blank"">00034574-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>definição:</small>&ensp;um ato bondoso, gentil</small><br>","<small><small>lexemas:</small></small>&ensp;amabilidade, bondade, delicadeza, gentileza<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
uita,lilaLemma:130393,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01215902-n"" target=""_blank"">01215902-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>definição:</small>&ensp;a atividade de prover ou manter, fornecendo com dinheiro ou necessidades</small><br>","<small><small>lexemas:</small></small>&ensp;amparo, suporte, ajuda, apoio, auxílio<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
uita,lilaLemma:130393,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00282613-n"" target=""_blank"">00282613-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;a progressão geral do seu trabalho ou vida profissional</small><br>,"<small><small>lexemas:</small></small>&ensp;carriera, carreira, corrida, trajetória<br>",<small><small>valências:&ensp;[ACT]</small></small><br>
uoluntas,lilaLemma:130763,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00161243-n"" target=""_blank"">00161243-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de escolher ou selecionar</small><br>,"<small><small>lexemas:</small></small>&ensp;escolha, selecção, seleção, eleição, opção<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
caedes,lilaLemma:92206,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00223983-n"" target=""_blank"">00223983-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;a matança selvagem e excessiva de muitas pessoas</small><br>,"<small><small>lexemas:</small></small>&ensp;assassinato em massa, assassínio em massa, carnificina, massacre, matança, abate, chacina, matação, mortandade, morticínio<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
caedes,lilaLemma:92206,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00219012-n"" target=""_blank"">00219012-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de terminar uma vida</small><br>,"<small><small>lexemas:</small></small>&ensp;assassinato, homicídio, morte, homicidio, massacre<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
caedes,lilaLemma:92206,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01160729-n"" target=""_blank"">01160729-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de infligir castigos corporais com repetidos golpes</small><br>,<small><small>lexemas:</small></small>&ensp;surra<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
caedes,lilaLemma:92206,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00227595-n"" target=""_blank"">00227595-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de matar (um animal ou pessoa) a fim de propiciar uma divindade</small><br>,"<small><small>lexemas:</small></small>&ensp;sacrificio, sacrifício<br>","<small><small>valências:&ensp;[ACT] ou [ACT,PAT]</small></small><br>"
caedes,lilaLemma:92206,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00221178-n"" target=""_blank"">00221178-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>definição:</small>&ensp;o derramamento de sangue, resultando em assassinato</small><br>","<small><small>lexemas:</small></small>&ensp;massacre, sangue coagulado<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
carmen,lilaLemma:96629,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00543233-n"" target=""_blank"">00543233-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>definição:</small>&ensp;atividade musical (cantando ou assobiando, etc)</small><br>",<small><small>lexemas:</small></small>&ensp;música<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
casus,lilaLemma:97835,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00756919-n"" target=""_blank"">00756919-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;um lapso no pecado; uma perda de inocência ou de castidade</small><br>,"<small><small>lexemas:</small></small>&ensp;decadência, queda, caimento<br>",
casus,lilaLemma:97835,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00215683-n"" target=""_blank"">00215683-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o encerramento de um governante ou instituição (especialmente pela força)</small><br>,<small><small>lexemas:</small></small>&ensp;deitarporterra<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
casus,lilaLemma:97835,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00076884-n"" target=""_blank"">00076884-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;uma queda brusca de posição vertical</small><br>,"<small><small>lexemas:</small></small>&ensp;tombo, queda<br>",
causa,lilaLemma:93253,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01182654-n"" target=""_blank"">01182654-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;um termo abrangente para qualquer processo em um tribunal de direito segundo o qual um indivíduo procura uma solução jurídica</small><br>,"<small><small>lexemas:</small></small>&ensp;causa, pleito, processo, processo judicial<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
causa,lilaLemma:93253,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01195867-n"" target=""_blank"">01195867-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>definição:</small>&ensp;(Lei) a determinação da culpa ou inocência de uma pessoa, atraves do processo legal apropriado</small><br>","<small><small>lexemas:</small></small>&ensp;julgamento, juízo, processo<br>",
ciuitas,lilaLemma:94400,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00084642-n"" target=""_blank"">00084642-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;mudando a pronúncia de uma palavra emprestada a concordar com a fonologia dos mutuários</small><br>,<small><small>lexemas:</small></small>&ensp;naturalização<br>,
cinis,lilaLemma:94017,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00217773-n"" target=""_blank"">00217773-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>definição:</small>&ensp;destruição alcançada, causando algo a ser destruído ou arruinado</small><br>",<small><small>lexemas:</small></small>&ensp;ruína<br>,"<small><small>valências:&ensp;[ACT] ou [ACT,PAT]</small></small><br>"
cinis,lilaLemma:94017,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00217014-n"" target=""_blank"">00217014-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o término de algo de tal forma que esse algo foi tão danificado que não pode ser mais consertado e nem pode mais existir</small><br>,"<small><small>lexemas:</small></small>&ensp;destruição, devastação<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
clamor,lilaLemma:94412,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00553823-n"" target=""_blank"">00553823-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de fazer uma confusão barulhenta</small><br>,"<small><small>lexemas:</small></small>&ensp;escândalo, tumulto<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
cura,lilaLemma:97301,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00917759-n"" target=""_blank"">00917759-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o levantamento de plantas ou animais</small><br>,"<small><small>lexemas:</small></small>&ensp;cultivo, cultura<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
cura,lilaLemma:97301,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01134861-n"" target=""_blank"">01134861-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o manejo de alguém ou alguma coisa</small><br>,"<small><small>lexemas:</small></small>&ensp;tratamento, abordagem, trato<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
cura,lilaLemma:97301,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00658082-n"" target=""_blank"">00658082-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;cuidados prestados para melhorar uma situação (especialmente procedimentos médicos ou aplicações que se destinam a aliviar doenças ou lesões)</small><br>,<small><small>lexemas:</small></small>&ensp;tratamento<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
