lemma,lila_id,synset_id,sem_type,definition_pt,lexemes_pt
accipio,lilaLemma:87119,00683280-v,cognição,aceitar como verdade; tomar como verdade,acreditar
accipio,lilaLemma:87119,00683280-v,cognição,aceitar como verdade; tomar como verdade,crer
accipio,lilaLemma:87119,00683280-v,cognição,aceitar como verdade; tomar como verdade,achar
accipio,lilaLemma:87119,00683280-v,cognição,aceitar como verdade; tomar como verdade,considerar
accipio,lilaLemma:87119,00686879-v,cognição,aceitar como verdadeiro ou válido,aceitar
accipio,lilaLemma:87119,00686879-v,cognição,aceitar como verdadeiro ou válido,receber
ago,lilaLemma:88140,02439732-v,relação social,ser uma força motivadora ou orientadora,conduzir
ago,lilaLemma:88140,02439732-v,relação social,ser uma força motivadora ou orientadora,encaminhar
ago,lilaLemma:88140,02439732-v,relação social,ser uma força motivadora ou orientadora,gerir
ago,lilaLemma:88140,02439732-v,relação social,ser uma força motivadora ou orientadora,guiar
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",germinar
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",abrolhar
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",assomar
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",brotar
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",desabrochar
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",desabrolhar
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",espigar
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",gomar
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",grelar
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",nascer
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",rebentar
ago,lilaLemma:88140,00357332-v,mudança,"produzir brotos, ramos, ou germinar",resultar
ago,lilaLemma:88140,01034312-v,comunicação,considerar ou examinar em discurso ou escrita,discorrer
ago,lilaLemma:88140,01034312-v,comunicação,considerar ou examinar em discurso ou escrita,discursar
ago,lilaLemma:88140,01034312-v,comunicação,considerar ou examinar em discurso ou escrita,discutir
ago,lilaLemma:88140,01034312-v,comunicação,considerar ou examinar em discurso ou escrita,falar
ago,lilaLemma:88140,02614387-v,estado,[lead a certain kind of life; live in a certain style],viver
ago,lilaLemma:88140,02614387-v,estado,[lead a certain kind of life; live in a certain style],morar
ago,lilaLemma:88140,00892315-v,comunicação,expressar gratidão ou mostrar apreciação,agradecer
ago,lilaLemma:88140,00892315-v,comunicação,expressar gratidão ou mostrar apreciação,apreciar
ago,lilaLemma:88140,02367363-v,relação social,fazer uma ação,agir
ago,lilaLemma:88140,02367363-v,relação social,fazer uma ação,atuar
ago,lilaLemma:88140,02367363-v,relação social,fazer uma ação,fazer
ago,lilaLemma:88140,02367363-v,relação social,fazer uma ação,abrir
ago,lilaLemma:88140,02367363-v,relação social,fazer uma ação,actuar
ago,lilaLemma:88140,02671613-v,estado,[function as or act like],agir como
ago,lilaLemma:88140,01732921-v,criação,"conduzir, como no desempenho de uma composição",conduzir
ago,lilaLemma:88140,01732921-v,criação,"conduzir, como no desempenho de uma composição",reger
ago,lilaLemma:88140,01732921-v,criação,"conduzir, como no desempenho de uma composição",dirigir
ago,lilaLemma:88140,02321757-v,posse,[take without the owner's consent],furtar
ago,lilaLemma:88140,02321757-v,posse,[take without the owner's consent],roubar
ago,lilaLemma:88140,02321757-v,posse,[take without the owner's consent],tirar
ago,lilaLemma:88140,01719921-v,criação,executar em um palco ou teatro,actuar
ago,lilaLemma:88140,01719921-v,criação,executar em um palco ou teatro,atuar
ago,lilaLemma:88140,01719921-v,criação,executar em um palco ou teatro,fazer
ago,lilaLemma:88140,01719921-v,criação,executar em um palco ou teatro,representar
ago,lilaLemma:88140,01719921-v,criação,executar em um palco ou teatro,agir
ago,lilaLemma:88140,01719921-v,criação,executar em um palco ou teatro,desempenhar
ago,lilaLemma:88140,01719921-v,criação,executar em um palco ou teatro,interpretar
ago,lilaLemma:88140,02406916-v,relação social,fazer um esforço para alcançar um objetivo,esforçar
ago,lilaLemma:88140,02406916-v,relação social,fazer um esforço para alcançar um objetivo,esforçar-se
ago,lilaLemma:88140,02406916-v,relação social,fazer um esforço para alcançar um objetivo,forçar
ago,lilaLemma:88140,02406916-v,relação social,fazer um esforço para alcançar um objetivo,pressionar
ago,lilaLemma:88140,02406916-v,relação social,fazer um esforço para alcançar um objetivo,trabalhar
ago,lilaLemma:88140,02344568-v,posse,[steal goods; take as spoils],pilhar
ago,lilaLemma:88140,02344568-v,posse,[steal goods; take as spoils],roubar
ago,lilaLemma:88140,02344568-v,posse,[steal goods; take as spoils],saquear
ago,lilaLemma:88140,02344568-v,posse,[steal goods; take as spoils],despojar
ago,lilaLemma:88140,02708420-v,estado,[pass time in a specific way],passar
ago,lilaLemma:88140,02708420-v,estado,[pass time in a specific way],vistoriar
ago,lilaLemma:88140,01939553-v,movimento,impulsionar para a frente,conduzir
ago,lilaLemma:88140,01939553-v,movimento,impulsionar para a frente,dirigir
ago,lilaLemma:88140,01939553-v,movimento,impulsionar para a frente,guiar
ago,lilaLemma:88140,01930874-v,movimento,operar ou controlar um veículo,conduzir
ago,lilaLemma:88140,01930874-v,movimento,operar ou controlar um veículo,dirigir
ago,lilaLemma:88140,01930874-v,movimento,operar ou controlar um veículo,manejar
ago,lilaLemma:88140,01999798-v,movimento,levar alguém a algum lugar,carregar
ago,lilaLemma:88140,01999798-v,movimento,levar alguém a algum lugar,conduzir
ago,lilaLemma:88140,01999798-v,movimento,levar alguém a algum lugar,dirigir
ago,lilaLemma:88140,01999798-v,movimento,levar alguém a algum lugar,guiar
ago,lilaLemma:88140,01999798-v,movimento,levar alguém a algum lugar,levar
ago,lilaLemma:88140,01999798-v,movimento,levar alguém a algum lugar,comandar
ago,lilaLemma:88140,01999798-v,movimento,levar alguém a algum lugar,coordenar
ago,lilaLemma:88140,01999798-v,movimento,levar alguém a algum lugar,encaminhar
ago,lilaLemma:88140,01999798-v,movimento,levar alguém a algum lugar,governar
ago,lilaLemma:88140,01999798-v,movimento,levar alguém a algum lugar,nortear
ago,lilaLemma:88140,01999798-v,movimento,levar alguém a algum lugar,orientar
ago,lilaLemma:88140,00813978-v,comunicação,falar com os outros sobre (algo); falar (algo) com mais em detalhe; ter uma discussão,discutir
ago,lilaLemma:88140,00813978-v,comunicação,falar com os outros sobre (algo); falar (algo) com mais em detalhe; ter uma discussão,abordar
ago,lilaLemma:88140,00813978-v,comunicação,falar com os outros sobre (algo); falar (algo) com mais em detalhe; ter uma discussão,debater
ago,lilaLemma:88140,00813978-v,comunicação,falar com os outros sobre (algo); falar (algo) com mais em detalhe; ter uma discussão,referir
ago,lilaLemma:88140,00813978-v,comunicação,falar com os outros sobre (algo); falar (algo) com mais em detalhe; ter uma discussão,ventilar
ago,lilaLemma:88140,00760576-v,comunicação,"introduzir um fundamento, como nos tribunais",advogar
ago,lilaLemma:88140,00760576-v,comunicação,"introduzir um fundamento, como nos tribunais",pleitear
ago,lilaLemma:88140,00010435-v,corpo,agir de uma certa forma; comportar-se ou conduzir-se;,agir
ago,lilaLemma:88140,00010435-v,corpo,agir de uma certa forma; comportar-se ou conduzir-se;,atuar
ago,lilaLemma:88140,00010435-v,corpo,agir de uma certa forma; comportar-se ou conduzir-se;,comportar-se
ago,lilaLemma:88140,00010435-v,corpo,agir de uma certa forma; comportar-se ou conduzir-se;,parecer
ago,lilaLemma:88140,00010435-v,corpo,agir de uma certa forma; comportar-se ou conduzir-se;,actuar
ago,lilaLemma:88140,00010435-v,corpo,agir de uma certa forma; comportar-se ou conduzir-se;,fazer
ago,lilaLemma:88140,00010435-v,corpo,agir de uma certa forma; comportar-se ou conduzir-se;,operar
ago,lilaLemma:88140,02442205-v,relação social,[direct or strongly influence the behavior of],governar
ago,lilaLemma:88140,02442205-v,relação social,[direct or strongly influence the behavior of],reger
ago,lilaLemma:88140,02002720-v,movimento,força para ir embora; ambos com significados concretos e metafóricas usado,afastar
ago,lilaLemma:88140,02002720-v,movimento,força para ir embora; ambos com significados concretos e metafóricas usado,afugentar
ago,lilaLemma:88140,02002720-v,movimento,força para ir embora; ambos com significados concretos e metafóricas usado,desvanecer
ago,lilaLemma:88140,02002720-v,movimento,força para ir embora; ambos com significados concretos e metafóricas usado,rechaçar
ago,lilaLemma:88140,02002720-v,movimento,força para ir embora; ambos com significados concretos e metafóricas usado,tocar
ago,lilaLemma:88140,02079933-v,movimento,transmitir ou servir como meio de transmissão,conduzir
ago,lilaLemma:88140,02079933-v,movimento,transmitir ou servir como meio de transmissão,transmitir
ago,lilaLemma:88140,02079933-v,movimento,transmitir ou servir como meio de transmissão,trazer
ago,lilaLemma:88140,02079933-v,movimento,transmitir ou servir como meio de transmissão,transportar
ago,lilaLemma:88140,02079933-v,movimento,transmitir ou servir como meio de transmissão,veicular
ago,lilaLemma:88140,00770437-v,comunicação,induzir a fazer; fazer agir de uma forma específica,induzir
ago,lilaLemma:88140,00770437-v,comunicação,induzir a fazer; fazer agir de uma forma específica,abrir
ago,lilaLemma:88140,00770437-v,comunicação,induzir a fazer; fazer agir de uma forma específica,causar
ago,lilaLemma:88140,00770437-v,comunicação,induzir a fazer; fazer agir de uma forma específica,estimular
ago,lilaLemma:88140,00770437-v,comunicação,induzir a fazer; fazer agir de uma forma específica,fazer
ago,lilaLemma:88140,00770437-v,comunicação,induzir a fazer; fazer agir de uma forma específica,levar
ago,lilaLemma:88140,00770437-v,comunicação,induzir a fazer; fazer agir de uma forma específica,provocar
ago,lilaLemma:88140,00770437-v,comunicação,induzir a fazer; fazer agir de uma forma específica,resultar_(em)
ago,lilaLemma:88140,00770437-v,comunicação,induzir a fazer; fazer agir de uma forma específica,tornar
ago,lilaLemma:88140,01722447-v,criação,representar ou executar como se estivesse em um jogo,reencenar
ago,lilaLemma:88140,00765649-v,comunicação,forçar ou empurrar na direção indicada,exortar
ago,lilaLemma:88140,00765649-v,comunicação,forçar ou empurrar na direção indicada,impelir
ago,lilaLemma:88140,00765649-v,comunicação,forçar ou empurrar na direção indicada,urgir
ago,lilaLemma:88140,00765649-v,comunicação,forçar ou empurrar na direção indicada,empurrar
ago,lilaLemma:88140,02431971-v,relação social,trabalhar em uma capacidade administrativa; supervisionar ou ser responsável por,administrar
ago,lilaLemma:88140,02431971-v,relação social,trabalhar em uma capacidade administrativa; supervisionar ou ser responsável por,gerenciar
ago,lilaLemma:88140,02431971-v,relação social,trabalhar em uma capacidade administrativa; supervisionar ou ser responsável por,gerir
ago,lilaLemma:88140,02413480-v,relação social,"se esforcar, fazendo trabalho mental ou fisico, com um objetivo ou por necessidade",trabalhar
ago,lilaLemma:88140,00013615-v,corpo,fingir ter certas qualidades ou certos estados de espírito,agir como
ago,lilaLemma:88140,00013615-v,corpo,fingir ter certas qualidades ou certos estados de espírito,fazer se de
ago,lilaLemma:88140,00013615-v,corpo,fingir ter certas qualidades ou certos estados de espírito,fingir
ago,lilaLemma:88140,00013615-v,corpo,fingir ter certas qualidades ou certos estados de espírito,simular
ago,lilaLemma:88140,00013615-v,corpo,fingir ter certas qualidades ou certos estados de espírito,representar
ago,lilaLemma:88140,01645601-v,criação,dar origem a,causar
ago,lilaLemma:88140,01645601-v,criação,dar origem a,fazer
ago,lilaLemma:88140,01645601-v,criação,dar origem a,provocar
ago,lilaLemma:88140,01645601-v,criação,dar origem a,abrir
ago,lilaLemma:88140,01645601-v,criação,dar origem a,tornar
ago,lilaLemma:88140,02614181-v,estado,"[have life, be alive]",estar vivo
ago,lilaLemma:88140,02614181-v,estado,"[have life, be alive]",viver
ago,lilaLemma:88140,02614181-v,estado,"[have life, be alive]",existir
ago,lilaLemma:88140,02614181-v,estado,"[have life, be alive]",morar
ago,lilaLemma:88140,02614181-v,estado,"[have life, be alive]",ser
alius,lilaLemma:88481,01410363-a,adjetivo,marcada por dissimilaridade,desigual
alius,lilaLemma:88481,01410363-a,adjetivo,marcada por dissimilaridade,diferente
alius,lilaLemma:88481,01410363-a,adjetivo,marcada por dissimilaridade,desconforme
alius,lilaLemma:88481,01410363-a,adjetivo,marcada por dissimilaridade,desirmanado
alius,lilaLemma:88481,01410363-a,adjetivo,marcada por dissimilaridade,desproporcionado
alius,lilaLemma:88481,01410363-a,adjetivo,marcada por dissimilaridade,desproporcional
alius,lilaLemma:88481,01410363-a,adjetivo,marcada por dissimilaridade,dissemelhante
alius,lilaLemma:88481,01410363-a,adjetivo,marcada por dissimilaridade,díspar
alius,lilaLemma:88481,02070188-s,adjetivo,[any of various alternatives; some other],outro
alius,lilaLemma:88481,02069355-a,adjetivo,Não o mesmo que aqueles já mencionados ou implícitos,outro
amicus,lilaLemma:88684,09622302-n,pessoa,uma pessoa que ama alguém ou é amado por alguém,amado
amicus,lilaLemma:88684,09622302-n,pessoa,uma pessoa que ama alguém ou é amado por alguém,amante
amicus,lilaLemma:88684,10059582-n,pessoa,um ardente defensor e entusiasta de alguma pessoa ou atividade,entusiasta
amicus,lilaLemma:88684,10059582-n,pessoa,um ardente defensor e entusiasta de alguma pessoa ou atividade,partidário
amicus,lilaLemma:88684,10112591-n,pessoa,uma pessoa que você conhece bem e conta com afeto e confiança,amiga
amicus,lilaLemma:88684,10112591-n,pessoa,uma pessoa que você conhece bem e conta com afeto e confiança,amigo
amicus,lilaLemma:88684,10112591-n,pessoa,uma pessoa que você conhece bem e conta com afeto e confiança,amizade
amicus,lilaLemma:88684,10112591-n,pessoa,uma pessoa que você conhece bem e conta com afeto e confiança,camarada
amicus,lilaLemma:88684,10112591-n,pessoa,uma pessoa que você conhece bem e conta com afeto e confiança,conhecido
amicus,lilaLemma:88684,10099375-n,pessoa,Uma pessoa que aceita a liderança de outro,seguidor
amicus,lilaLemma:88684,10099375-n,pessoa,Uma pessoa que aceita a liderança de outro,partidário
amicus,lilaLemma:88684,10099375-n,pessoa,Uma pessoa que aceita a liderança de outro,sectário
amicus,lilaLemma:88684,09785042-n,pessoa,um associado que presta cooperação ou assistência,aliada
amicus,lilaLemma:88684,09785042-n,pessoa,um associado que presta cooperação ou assistência,aliado
amicus,lilaLemma:88684,09785042-n,pessoa,um associado que presta cooperação ou assistência,amigo
amicus,lilaLemma:88684,10016103-n,pessoa,alguém que acredita e ajuda a espalhar a doutrina de outro,adepto
amicus,lilaLemma:88684,10016103-n,pessoa,alguém que acredita e ajuda a espalhar a doutrina de outro,aluno
amicus,lilaLemma:88684,10016103-n,pessoa,alguém que acredita e ajuda a espalhar a doutrina de outro,apóstolo
amicus,lilaLemma:88684,10016103-n,pessoa,alguém que acredita e ajuda a espalhar a doutrina de outro,discípulo
amicus,lilaLemma:88684,10016103-n,pessoa,alguém que acredita e ajuda a espalhar a doutrina de outro,estudante
amicus,lilaLemma:88684,10016103-n,pessoa,alguém que acredita e ajuda a espalhar a doutrina de outro,seguidor
amicus,lilaLemma:88684,10016103-n,pessoa,alguém que acredita e ajuda a espalhar a doutrina de outro,partidário
amicus,lilaLemma:88684,10407954-n,pessoa,alguém que apóia ou suporta algo,fiador
amicus,lilaLemma:88684,10407954-n,pessoa,alguém que apóia ou suporta algo,padrinho
amicus,lilaLemma:88684,10407954-n,pessoa,alguém que apóia ou suporta algo,colaborador
amicus,lilaLemma:88684,09815790-n,pessoa,uma pessoa que contribui para a realização de uma necessidade ou fomento de um esforço ou propósito,ajudante
amicus,lilaLemma:88684,09815790-n,pessoa,uma pessoa que contribui para a realização de uma necessidade ou fomento de um esforço ou propósito,assistente
amicus,lilaLemma:88684,09815790-n,pessoa,uma pessoa que contribui para a realização de uma necessidade ou fomento de um esforço ou propósito,criado
amicus,lilaLemma:88684,09815790-n,pessoa,uma pessoa que contribui para a realização de uma necessidade ou fomento de um esforço ou propósito,servidor
amicus,lilaLemma:88684,09815790-n,pessoa,uma pessoa que contribui para a realização de uma necessidade ou fomento de um esforço ou propósito,acólito
amicus,lilaLemma:88684,09815790-n,pessoa,uma pessoa que contribui para a realização de uma necessidade ou fomento de um esforço ou propósito,adjutor
amicus,lilaLemma:88684,09815790-n,pessoa,uma pessoa que contribui para a realização de uma necessidade ou fomento de um esforço ou propósito,adjuvante
amicus,lilaLemma:88684,09815790-n,pessoa,uma pessoa que contribui para a realização de uma necessidade ou fomento de um esforço ou propósito,ajuda
amicus,lilaLemma:88684,09815790-n,pessoa,uma pessoa que contribui para a realização de uma necessidade ou fomento de um esforço ou propósito,assessor
amicus,lilaLemma:88684,09815790-n,pessoa,uma pessoa que contribui para a realização de uma necessidade ou fomento de um esforço ou propósito,auxiliar
amicus,lilaLemma:88684,09815790-n,pessoa,uma pessoa que contribui para a realização de uma necessidade ou fomento de um esforço ou propósito,colaborador
animus,lilaLemma:89094,05982915-n,cognição,sua intenção; o que você pretende fazer,ideia
animus,lilaLemma:89094,05982915-n,cognição,sua intenção; o que você pretende fazer,intento
animus,lilaLemma:89094,05982915-n,cognição,sua intenção; o que você pretende fazer,intenção
animus,lilaLemma:89094,05982915-n,cognição,sua intenção; o que você pretende fazer,mente
animus,lilaLemma:89094,05982915-n,cognição,sua intenção; o que você pretende fazer,objectivo
animus,lilaLemma:89094,05982915-n,cognição,sua intenção; o que você pretende fazer,objetivo
animus,lilaLemma:89094,05982915-n,cognição,sua intenção; o que você pretende fazer,plano
animus,lilaLemma:89094,05982915-n,cognição,sua intenção; o que você pretende fazer,idéia
animus,lilaLemma:89094,05789432-n,cognição,o processo cognitivo de chegar a uma decisão ou tirar conclusões,julgamento
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,afecção
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,afeição
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,afetividade
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,afeto
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,amor
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,apego
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,carinho
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,afecto
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,amizade
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,coração
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,doçura
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,estima
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,estimação
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,meiguice
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,simpatia
animus,lilaLemma:89094,07544647-n,sentimento,um sentimento positivo de gosto,ternura
animus,lilaLemma:89094,00026192-n,conceito,o experimentando dos Estados afetivos e emocionais,emoção
animus,lilaLemma:89094,00026192-n,conceito,o experimentando dos Estados afetivos e emocionais,impressão
animus,lilaLemma:89094,00026192-n,conceito,o experimentando dos Estados afetivos e emocionais,sentimento
animus,lilaLemma:89094,00026192-n,conceito,o experimentando dos Estados afetivos e emocionais,sensação
animus,lilaLemma:89094,04640538-n,atributo,tolerância bem-humorada de atraso ou incompetência,longanimidade
animus,lilaLemma:89094,04640538-n,atributo,tolerância bem-humorada de atraso ou incompetência,paciência
animus,lilaLemma:89094,04640538-n,atributo,tolerância bem-humorada de atraso ou incompetência,tolerância
animus,lilaLemma:89094,05760202-n,cognição,"os processos cognitivos, no qual a experiência do passado é lembrada",memória
animus,lilaLemma:89094,05037813-n,atributo,a propriedade de ser selvagem ou turbulento,violência
animus,lilaLemma:89094,05037813-n,atributo,a propriedade de ser selvagem ou turbulento,brutalidade
animus,lilaLemma:89094,05037813-n,atributo,a propriedade de ser selvagem ou turbulento,crueldade
animus,lilaLemma:89094,05037813-n,atributo,a propriedade de ser selvagem ou turbulento,desumanidade
animus,lilaLemma:89094,05037813-n,atributo,a propriedade de ser selvagem ou turbulento,encarniçamento
animus,lilaLemma:89094,05037813-n,atributo,a propriedade de ser selvagem ou turbulento,ferocidade
animus,lilaLemma:89094,05037813-n,atributo,a propriedade de ser selvagem ou turbulento,força
animus,lilaLemma:89094,05037813-n,atributo,a propriedade de ser selvagem ou turbulento,fúria
animus,lilaLemma:89094,05037813-n,atributo,a propriedade de ser selvagem ou turbulento,sanha
animus,lilaLemma:89094,05037813-n,atributo,a propriedade de ser selvagem ou turbulento,truculência
animus,lilaLemma:89094,04886646-n,atributo,a característica de ser estimulado por uma antipatia de cair abaixo de seus padrões,orgulho
animus,lilaLemma:89094,05614175-n,cognição,a capacidade mental de compreender e distinguir as relações,critério
animus,lilaLemma:89094,05614175-n,cognição,a capacidade mental de compreender e distinguir as relações,discernimento
animus,lilaLemma:89094,05614175-n,cognição,a capacidade mental de compreender e distinguir as relações,julgamento
animus,lilaLemma:89094,05614175-n,cognição,a capacidade mental de compreender e distinguir as relações,juízo
animus,lilaLemma:89094,04857490-n,atributo,a coragem para continuar,coragem
animus,lilaLemma:89094,04857490-n,atributo,a coragem para continuar,nervo
animus,lilaLemma:89094,04857490-n,atributo,a coragem para continuar,valor
animus,lilaLemma:89094,05652593-n,cognição,a capacidade de escolha consciente e decisão e intenção,vontade
animus,lilaLemma:89094,06196584-n,cognição,"uma atitude da mente, especialmente um que favorece uma alternativa sobre os outros",tendência
animus,lilaLemma:89094,06196584-n,cognição,"uma atitude da mente, especialmente um que favorece uma alternativa sobre os outros",inclinação
animus,lilaLemma:89094,04887912-n,atributo,orgulho arrogante evidenciado por uma forma superior para os inferiores,arrogância
animus,lilaLemma:89094,04887912-n,atributo,orgulho arrogante evidenciado por uma forma superior para os inferiores,elevado-high-handedness
animus,lilaLemma:89094,04887912-n,atributo,orgulho arrogante evidenciado por uma forma superior para os inferiores,orgulho
animus,lilaLemma:89094,04887912-n,atributo,orgulho arrogante evidenciado por uma forma superior para os inferiores,altanaria
animus,lilaLemma:89094,04887912-n,atributo,orgulho arrogante evidenciado por uma forma superior para os inferiores,altivez
animus,lilaLemma:89094,04887912-n,atributo,orgulho arrogante evidenciado por uma forma superior para os inferiores,desvanecimento
animus,lilaLemma:89094,04887912-n,atributo,orgulho arrogante evidenciado por uma forma superior para os inferiores,imodéstia
animus,lilaLemma:89094,04887912-n,atributo,orgulho arrogante evidenciado por uma forma superior para os inferiores,indiscrição
animus,lilaLemma:89094,04887912-n,atributo,orgulho arrogante evidenciado por uma forma superior para os inferiores,presunção
animus,lilaLemma:89094,04887912-n,atributo,orgulho arrogante evidenciado por uma forma superior para os inferiores,soberba
animus,lilaLemma:89094,04887912-n,atributo,orgulho arrogante evidenciado por uma forma superior para os inferiores,vaidade
animus,lilaLemma:89094,04903813-n,atributo,firmeza de espírito sob estresse,calma
animus,lilaLemma:89094,04903813-n,atributo,firmeza de espírito sob estresse,equanimidade
animus,lilaLemma:89094,04903813-n,atributo,firmeza de espírito sob estresse,coragem
animus,lilaLemma:89094,04903813-n,atributo,firmeza de espírito sob estresse,fleima
animus,lilaLemma:89094,04903813-n,atributo,firmeza de espírito sob estresse,fleuma
animus,lilaLemma:89094,04903813-n,atributo,firmeza de espírito sob estresse,imobilidade
animus,lilaLemma:89094,04903813-n,atributo,firmeza de espírito sob estresse,impassibilidade
