"headword","filenaming"
"os","_xx111-115xx_"
"os2","_xx111-115-50xx_"
"ostendo","_xx111-115-116-101-110-100-111xx_"
"otium","_xx111-116-105-117-109xx_"
"paene","_xx112-97-101-110-101xx_"
"par","_xx112-97-114xx_"
"parco","_xx112-97-114-99-111xx_"
"parens","_xx112-97-114-101-110-115xx_"
"pareo","_xx112-97-114-101-111xx_"
"pario","_xx112-97-114-105-111xx_"
"paro","_xx112-97-114-111xx_"
"pars","_xx112-97-114-115xx_"
"parum","_xx112-97-114-117-109xx_"
"paruus","_xx112-97-114-117-117-115xx_"
"pateo","_xx112-97-116-101-111xx_"
"pater","_xx112-97-116-101-114xx_"
"patior","_xx112-97-116-105-111-114xx_"
"patria","_xx112-97-116-114-105-97xx_"
"pauci","_xx112-97-117-99-105xx_"
"paullus","_xx112-97-117-108-108-117-115xx_"
"paulo","_xx112-97-117-108-111xx_"
"pauper","_xx112-97-117-112-101-114xx_"
"pax","_xx112-97-120xx_"
"pecco","_xx112-101-99-99-111xx_"
"pectus","_xx112-101-99-116-117-115xx_"
"pecunia","_xx112-101-99-117-110-105-97xx_"
"pecus","_xx112-101-99-117-115xx_"
"pello","_xx112-101-108-108-111xx_"
"pendo","_xx112-101-110-100-111xx_"
"per","_xx112-101-114xx_"
"perdo","_xx112-101-114-100-111xx_"
"pereo","_xx112-101-114-101-111xx_"
"pergo","_xx112-101-114-103-111xx_"
"periculum","_xx112-101-114-105-99-117-108-117-109xx_"
"permitto","_xx112-101-114-109-105-116-116-111xx_"
"perpetuus","_xx112-101-114-112-101-116-117-117-115xx_"
"pertineo","_xx112-101-114-116-105-110-101-111xx_"
"peruenio","_xx112-101-114-117-101-110-105-111xx_"
"pes","_xx112-101-115xx_"
"peto","_xx112-101-116-111xx_"
"pietas","_xx112-105-101-116-97-115xx_"
"pius","_xx112-105-117-115xx_"
"placeo","_xx112-108-97-99-101-111xx_"
"plebs","_xx112-108-101-98-115xx_"
"plenus","_xx112-108-101-110-117-115xx_"
"plerique","_xx112-108-101-114-105-113-117-101xx_"
"plerumque","_xx112-108-101-114-117-109-113-117-101xx_"
"plerusque","_xx112-108-101-114-117-115-113-117-101xx_"
"poena","_xx112-111-101-110-97xx_"
"poeta","_xx112-111-101-116-97xx_"
"pondus","_xx112-111-110-100-117-115xx_"
"pono","_xx112-111-110-111xx_"
"pontus","_xx112-111-110-116-117-115xx_"
"populus","_xx112-111-112-117-108-117-115xx_"
"porta","_xx112-111-114-116-97xx_"
"porto","_xx112-111-114-116-111xx_"
"posco","_xx112-111-115-99-111xx_"
"possum","_xx112-111-115-115-117-109xx_"
"post","_xx112-111-115-116xx_"
"postea","_xx112-111-115-116-101-97xx_"
"posterus","_xx112-111-115-116-101-114-117-115xx_"
"postquam","_xx112-111-115-116-113-117-97-109xx_"
"potens","_xx112-111-116-101-110-115xx_"
"potestas","_xx112-111-116-101-115-116-97-115xx_"
"potis","_xx112-111-116-105-115xx_"
"praebeo","_xx112-114-97-101-98-101-111xx_"
"praeceptum","_xx112-114-97-101-99-101-112-116-117-109xx_"
"praecipio","_xx112-114-97-101-99-105-112-105-111xx_"
"praeda","_xx112-114-97-101-100-97xx_"
"praemium","_xx112-114-97-101-109-105-117-109xx_"
"praesens","_xx112-114-97-101-115-101-110-115xx_"
"praesidium","_xx112-114-97-101-115-105-100-105-117-109xx_"
"praesto","_xx112-114-97-101-115-116-111xx_"
"praeter","_xx112-114-97-101-116-101-114xx_"
"praeterea","_xx112-114-97-101-116-101-114-101-97xx_"
"praetor","_xx112-114-97-101-116-111-114xx_"
"precor","_xx112-114-101-99-111-114xx_"
"premo","_xx112-114-101-109-111xx_"
"pretium","_xx112-114-101-116-105-117-109xx_"
"prex","_xx112-114-101-120xx_"
"primum","_xx112-114-105-109-117-109xx_"
"primus","_xx112-114-105-109-117-115xx_"
"princeps","_xx112-114-105-110-99-101-112-115xx_"
"principium","_xx112-114-105-110-99-105-112-105-117-109xx_"
"prior","_xx112-114-105-111-114xx_"
"priuatus","_xx112-114-105-117-97-116-117-115xx_"
"priuo","_xx112-114-105-117-111xx_"
"prius","_xx112-114-105-117-115xx_"
"pro","_xx112-114-111xx_"
"probo","_xx112-114-111-98-111xx_"
"procedo","_xx112-114-111-99-101-100-111xx_"
"procul","_xx112-114-111-99-117-108xx_"
"prodo","_xx112-114-111-100-111xx_"
"proelium","_xx112-114-111-101-108-105-117-109xx_"
"proficiscor","_xx112-114-111-102-105-99-105-115-99-111-114xx_"
"prohibeo","_xx112-114-111-104-105-98-101-111xx_"
"promitto","_xx112-114-111-109-105-116-116-111xx_"
"prope","_xx112-114-111-112-101xx_"
"prope2","_xx112-114-111-112-101-50xx_"
"propero","_xx112-114-111-112-101-114-111xx_"
"propono","_xx112-114-111-112-111-110-111xx_"
"proprius","_xx112-114-111-112-114-105-117-115xx_"
"propter","_xx112-114-111-112-116-101-114xx_"
"prosum","_xx112-114-111-115-117-109xx_"
"protinus","_xx112-114-111-116-105-110-117-115xx_"
"prouincia","_xx112-114-111-117-105-110-99-105-97xx_"
"publicus","_xx112-117-98-108-105-99-117-115xx_"
"pudor","_xx112-117-100-111-114xx_"
"puella","_xx112-117-101-108-108-97xx_"
"puer","_xx112-117-101-114xx_"
"pugna","_xx112-117-103-110-97xx_"
"pugno","_xx112-117-103-110-111xx_"
"pulcher","_xx112-117-108-99-104-101-114xx_"
"puto","_xx112-117-116-111xx_"
"qua","_xx113-117-97xx_"
"qua2","_xx113-117-97-50xx_"
"quaero","_xx113-117-97-101-114-111xx_"
"qualis","_xx113-117-97-108-105-115xx_"
"quamquam","_xx113-117-97-109-113-117-97-109xx_"
"quamuis","_xx113-117-97-109-117-105-115xx_"
"quando","_xx113-117-97-110-100-111xx_"
"quantum","_xx113-117-97-110-116-117-109xx_"
"quantus","_xx113-117-97-110-116-117-115xx_"
"quare","_xx113-117-97-114-101xx_"
"quasi","_xx113-117-97-115-105xx_"
"quattuor","_xx113-117-97-116-116-117-111-114xx_"
"que","_xx113-117-101xx_"
"quemadmodum","_xx113-117-101-109-97-100-109-111-100-117-109xx_"
"queror","_xx113-117-101-114-111-114xx_"
"qui","_xx113-117-105xx_"
"quia","_xx113-117-105-97xx_"
"quicumque","_xx113-117-105-99-117-109-113-117-101xx_"
"quidam","_xx113-117-105-100-97-109xx_"
"quidem","_xx113-117-105-100-101-109xx_"
"quiesco","_xx113-117-105-101-115-99-111xx_"
"quin","_xx113-117-105-110xx_"
"quippe","_xx113-117-105-112-112-101xx_"
"quis","_xx113-117-105-115xx_"
"quisquam","_xx113-117-105-115-113-117-97-109xx_"
"quisquis","_xx113-117-105-115-113-117-105-115xx_"
"quomodo","_xx113-117-111-109-111-100-111xx_"
"quondam","_xx113-117-111-110-100-97-109xx_"
"quoniam","_xx113-117-111-110-105-97-109xx_"
"quotiens","_xx113-117-111-116-105-101-110-115xx_"
"rapio","_xx114-97-112-105-111xx_"
"rarus","_xx114-97-114-117-115xx_"
"ratio","_xx114-97-116-105-111xx_"
"recedo","_xx114-101-99-101-100-111xx_"
"recens","_xx114-101-99-101-110-115xx_"
"recipio","_xx114-101-99-105-112-105-111xx_"
"rectus","_xx114-101-99-116-117-115xx_"
"reddo","_xx114-101-100-100-111xx_"
"redeo","_xx114-101-100-101-111xx_"
"refero","_xx114-101-102-101-114-111xx_"
"regio","_xx114-101-103-105-111xx_"
"regius","_xx114-101-103-105-117-115xx_"
"regnum","_xx114-101-103-110-117-109xx_"
"rego","_xx114-101-103-111xx_"
"relinquo","_xx114-101-108-105-110-113-117-111xx_"
"reliquus","_xx114-101-108-105-113-117-117-115xx_"
"reor","_xx114-101-111-114xx_"
"reperio","_xx114-101-112-101-114-105-111xx_"
"repeto","_xx114-101-112-101-116-111xx_"
"res","_xx114-101-115xx_"
"respicio","_xx114-101-115-112-105-99-105-111xx_"
"respondeo","_xx114-101-115-112-111-110-100-101-111xx_"
"retineo","_xx114-101-116-105-110-101-111xx_"
"reuerto","_xx114-101-117-101-114-116-111xx_"
"reuoco","_xx114-101-117-111-99-111xx_"
"reus","_xx114-101-117-115xx_"
"rex","_xx114-101-120xx_"
"rideo","_xx114-105-100-101-111xx_"
"ripa","_xx114-105-112-97xx_"
"rogo","_xx114-111-103-111xx_"
"rumpo","_xx114-117-109-112-111xx_"
"rursus","_xx114-117-114-115-117-115xx_"
"rus","_xx114-117-115xx_"
"sacer","_xx115-97-99-101-114xx_"
"sacerdos","_xx115-97-99-101-114-100-111-115xx_"
"saeculum","_xx115-97-101-99-117-108-117-109xx_"
"saepe","_xx115-97-101-112-101xx_"
"saeuus","_xx115-97-101-117-117-115xx_"
"salus","_xx115-97-108-117-115xx_"
"sancio","_xx115-97-110-99-105-111xx_"
"sancitus","_xx115-97-110-99-105-116-117-115xx_"
"sanguis","_xx115-97-110-103-117-105-115xx_"
"sanus","_xx115-97-110-117-115xx_"
"sapiens","_xx115-97-112-105-101-110-115xx_"
"sapiens2","_xx115-97-112-105-101-110-115-50xx_"
"sapientia","_xx115-97-112-105-101-110-116-105-97xx_"
"sapio","_xx115-97-112-105-111xx_"
"satis","_xx115-97-116-105-115xx_"
"saxum","_xx115-97-120-117-109xx_"
"scelus","_xx115-99-101-108-117-115xx_"
"scientia","_xx115-99-105-101-110-116-105-97xx_"
"scilicet","_xx115-99-105-108-105-99-101-116xx_"
"scio","_xx115-99-105-111xx_"
"scribo","_xx115-99-114-105-98-111xx_"
"secundus","_xx115-101-99-117-110-100-117-115xx_"
"securus","_xx115-101-99-117-114-117-115xx_"
"sed","_xx115-101-100xx_"
"sedeo","_xx115-101-100-101-111xx_"
"sedes","_xx115-101-100-101-115xx_"
"semel","_xx115-101-109-101-108xx_"
"semper","_xx115-101-109-112-101-114xx_"
"senatus","_xx115-101-110-97-116-117-115xx_"
"senex","_xx115-101-110-101-120xx_"
"sensus","_xx115-101-110-115-117-115xx_"
"sententia","_xx115-101-110-116-101-110-116-105-97xx_"
"sentio","_xx115-101-110-116-105-111xx_"
"sepulcrum","_xx115-101-112-117-108-99-114-117-109xx_"
"sequor","_xx115-101-113-117-111-114xx_"
"sermo","_xx115-101-114-109-111xx_"
"seruio","_xx115-101-114-117-105-111xx_"
"seruo","_xx115-101-114-117-111xx_"
"seruus","_xx115-101-114-117-117-115xx_"
"seu","_xx115-101-117xx_"
"si","_xx115-105xx_"
"sic","_xx115-105-99xx_"
"sicut","_xx115-105-99-117-116xx_"
"sidus","_xx115-105-100-117-115xx_"
"signum","_xx115-105-103-110-117-109xx_"
"silua","_xx115-105-108-117-97xx_"
"similis","_xx115-105-109-105-108-105-115xx_"
"simul","_xx115-105-109-117-108xx_"
"sine","_xx115-105-110-101xx_"
"singuli","_xx115-105-110-103-117-108-105xx_"
"sino","_xx115-105-110-111xx_"
"sinus","_xx115-105-110-117-115xx_"
"siue","_xx115-105-117-101xx_"
"siue2","_xx115-105-117-101-50xx_"
"socius","_xx115-111-99-105-117-115xx_"
"socius2","_xx115-111-99-105-117-115-50xx_"
"sol","_xx115-111-108xx_"
"soleo","_xx115-111-108-101-111xx_"
"solum","_xx115-111-108-117-109xx_"
"soluo","_xx115-111-108-117-111xx_"
"solus","_xx115-111-108-117-115xx_"
"somnus","_xx115-111-109-110-117-115xx_"
"sono","_xx115-111-110-111xx_"
"soror","_xx115-111-114-111-114xx_"
"sors","_xx115-111-114-115xx_"
"spargo","_xx115-112-97-114-103-111xx_"
"spatium","_xx115-112-97-116-105-117-109xx_"
"species","_xx115-112-101-99-105-101-115xx_"
"specto","_xx115-112-101-99-116-111xx_"
"spero","_xx115-112-101-114-111xx_"
"spes","_xx115-112-101-115xx_"
"spiritus","_xx115-112-105-114-105-116-117-115xx_"
"statim","_xx115-116-97-116-105-109xx_"
"statuo","_xx115-116-97-116-117-111xx_"
"stella","_xx115-116-101-108-108-97xx_"
"sto","_xx115-116-111xx_"
"studeo","_xx115-116-117-100-101-111xx_"
"studium","_xx115-116-117-100-105-117-109xx_"
"sub","_xx115-117-98xx_"
"subeo","_xx115-117-98-101-111xx_"
"subito","_xx115-117-98-105-116-111xx_"
"sui","_xx115-117-105xx_"
"sum","_xx115-117-109xx_"
"sumo","_xx115-117-109-111xx_"
"super","_xx115-117-112-101-114xx_"
"super2","_xx115-117-112-101-114-50xx_"
"superbus","_xx115-117-112-101-114-98-117-115xx_"
"superi","_xx115-117-112-101-114-105xx_"
"supero","_xx115-117-112-101-114-111xx_"
"supersum","_xx115-117-112-101-114-115-117-109xx_"
"superus","_xx115-117-112-101-114-117-115xx_"
"supplicium","_xx115-117-112-112-108-105-99-105-117-109xx_"
"supra","_xx115-117-112-114-97xx_"
"supra2","_xx115-117-112-114-97-50xx_"
"surgo","_xx115-117-114-103-111xx_"
"suscipio","_xx115-117-115-99-105-112-105-111xx_"
"sustineo","_xx115-117-115-116-105-110-101-111xx_"
"suus","_xx115-117-117-115xx_"
"taceo","_xx116-97-99-101-111xx_"
"talis","_xx116-97-108-105-115xx_"
"tam","_xx116-97-109xx_"
"tamen","_xx116-97-109-101-110xx_"
"tamquam","_xx116-97-109-113-117-97-109xx_"
"tandem","_xx116-97-110-100-101-109xx_"
"tango","_xx116-97-110-103-111xx_"
"tantum","_xx116-97-110-116-117-109xx_"
"tantus","_xx116-97-110-116-117-115xx_"
"tardus","_xx116-97-114-100-117-115xx_"
"tectum","_xx116-101-99-116-117-109xx_"
"tego","_xx116-101-103-111xx_"
"tellus","_xx116-101-108-108-117-115xx_"
"telum","_xx116-101-108-117-109xx_"
"tempestas","_xx116-101-109-112-101-115-116-97-115xx_"
"templum","_xx116-101-109-112-108-117-109xx_"
"tempto","_xx116-101-109-112-116-111xx_"
"tempus","_xx116-101-109-112-117-115xx_"
"tendo","_xx116-101-110-100-111xx_"
"tenebrae","_xx116-101-110-101-98-114-97-101xx_"
"teneo","_xx116-101-110-101-111xx_"
"tener","_xx116-101-110-101-114xx_"
"tergum","_xx116-101-114-103-117-109xx_"
"terra","_xx116-101-114-114-97xx_"
"terreo","_xx116-101-114-114-101-111xx_"
"tertius","_xx116-101-114-116-105-117-115xx_"
"testis","_xx116-101-115-116-105-115xx_"
"timeo","_xx116-105-109-101-111xx_"
"timor","_xx116-105-109-111-114xx_"
"tollo","_xx116-111-108-108-111xx_"
"tot","_xx116-111-116xx_"
"totus","_xx116-111-116-117-115xx_"
"trado","_xx116-114-97-100-111xx_"
"traho","_xx116-114-97-104-111xx_"
"transeo","_xx116-114-97-110-115-101-111xx_"
"tres","_xx116-114-101-115xx_"
"tribunus","_xx116-114-105-98-117-110-117-115xx_"
"tristis","_xx116-114-105-115-116-105-115xx_"
"tu","_xx116-117xx_"
"tueo","_xx116-117-101-111xx_"
"tueor","_xx116-117-101-111-114xx_"
"tuitus","_xx116-117-105-116-117-115xx_"
"tum","_xx116-117-109xx_"
"turba","_xx116-117-114-98-97xx_"
"turbo","_xx116-117-114-98-111xx_"
"turpis","_xx116-117-114-112-105-115xx_"
"tuus","_xx116-117-117-115xx_"
"uaco","_xx117-97-99-111xx_"
"uacuus","_xx117-97-99-117-117-115xx_"
"uagus","_xx117-97-103-117-115xx_"
"ualeo","_xx117-97-108-101-111xx_"
"ualidus","_xx117-97-108-105-100-117-115xx_"
"uanus","_xx117-97-110-117-115xx_"
"uarius","_xx117-97-114-105-117-115xx_"
"uates","_xx117-97-116-101-115xx_"
"ubi","_xx117-98-105xx_"
"ue","_xx117-101xx_"
"ueho","_xx117-101-104-111xx_"
"uel","_xx117-101-108xx_"
"uelut","_xx117-101-108-117-116xx_"
"uenio","_xx117-101-110-105-111xx_"
"uentus","_xx117-101-110-116-117-115xx_"
"uerbum","_xx117-101-114-98-117-109xx_"
"uere","_xx117-101-114-101xx_"
"uereor","_xx117-101-114-101-111-114xx_"
"uero","_xx117-101-114-111xx_"
"uerto","_xx117-101-114-116-111xx_"
"uerus","_xx117-101-114-117-115xx_"
"uester","_xx117-101-115-116-101-114xx_"
"uestigium","_xx117-101-115-116-105-103-105-117-109xx_"
"uestis","_xx117-101-115-116-105-115xx_"
"ueto","_xx117-101-116-111xx_"
"uetus","_xx117-101-116-117-115xx_"
"uia","_xx117-105-97xx_"
"uicinus","_xx117-105-99-105-110-117-115xx_"
"uictor","_xx117-105-99-116-111-114xx_"
"uictoria","_xx117-105-99-116-111-114-105-97xx_"
"uideo","_xx117-105-100-101-111xx_"
"uinco","_xx117-105-110-99-111xx_"
"uinculum","_xx117-105-110-99-117-108-117-109xx_"
"uinum","_xx117-105-110-117-109xx_"
"uir","_xx117-105-114xx_"
"uirgo","_xx117-105-114-103-111xx_"
"uirtus","_xx117-105-114-116-117-115xx_"
"uis","_xx117-105-115xx_"
"uita","_xx117-105-116-97xx_"
"uitium","_xx117-105-116-105-117-109xx_"
"uito","_xx117-105-116-111xx_"
"uiuo","_xx117-105-117-111xx_"
"uix","_xx117-105-120xx_"
"ullus","_xx117-108-108-117-115xx_"
"ultimus","_xx117-108-116-105-109-117-115xx_"
"ultra","_xx117-108-116-114-97xx_"
"ultra2","_xx117-108-116-114-97-50xx_"
"umbra","_xx117-109-98-114-97xx_"
"umquam","_xx117-109-113-117-97-109xx_"
"unda","_xx117-110-100-97xx_"
"unde","_xx117-110-100-101xx_"
"undique","_xx117-110-100-105-113-117-101xx_"
"unus","_xx117-110-117-115xx_"
"uoco","_xx117-111-99-111xx_"
"uolo","_xx117-111-108-111xx_"
"uolucer","_xx117-111-108-117-99-101-114xx_"
"uolucris","_xx117-111-108-117-99-114-105-115xx_"
"uoluntas","_xx117-111-108-117-110-116-97-115xx_"
"uoluptas","_xx117-111-108-117-112-116-97-115xx_"
"uos","_xx117-111-115xx_"
"uotum","_xx117-111-116-117-109xx_"
"uox","_xx117-111-120xx_"
"urbs","_xx117-114-98-115xx_"
"usque","_xx117-115-113-117-101xx_"
"usus","_xx117-115-117-115xx_"
"ut","_xx117-116xx_"
"uterque","_xx117-116-101-114-113-117-101xx_"
"utilis","_xx117-116-105-108-105-115xx_"
"utor","_xx117-116-111-114xx_"
"utrum","_xx117-116-114-117-109xx_"
"uulgo","_xx117-117-108-103-111xx_"
"uulgus","_xx117-117-108-103-117-115xx_"
"uulnus","_xx117-117-108-110-117-115xx_"
"uultus","_xx117-117-108-116-117-115xx_"
"uxor","_xx117-120-111-114xx_"
